year,id,Player,Team,sold_price_in_usd,base_price_in_usd
2009,19296,Kevin Pietersen,Royal Challengers Bangalore,1550000,1350000
2009,12856,Andrew Flintoff,Chennai Super Kings,1550000,950000
2009,44932,JP Duminy,Mumbai Indians,950000,300000
2009,45434,Tyron Henderson,Rajasthan Royals,650000,100000
2009,10582,Ravi Bopara,Punjab Kings,450000,150000
2009,8076,Shaun Tait,Rajasthan Royals,375000,250000
2009,20123,Owais Shah,Delhi Capitals,275000,150000
2009,10772,Paul Collingwood,Delhi Capitals,275000,250000
2009,38373,Jesse Ryder,Royal Challengers Bangalore,160000,100000
2009,51782,Fidel Edwards,Deccan Chargers,150000,150000
2009,37740,Kyle Mills,Mumbai Indians,150000,150000
2009,53191,Jerome Taylor,Punjab Kings,150000,150000
2009,49677,Thilan Thushara,Chennai Super Kings,140000,100000
2009,53118,Dwayne Smith,Deccan Chargers,100000,100000
2009,55988,Mohammad Ashraful,Mumbai Indians,75000,75000
2009,4451,George Bailey,Chennai Super Kings,50000,50000
2009,56007,Mashrafe Bin Mortaza,Kolkata Knight Riders,600000,50000
